text,sentiment,intent,notes
"I love how fast the delivery was",Positive,Opinion,
"The product stopped working after two days",Negative,Complaint,
"Can you tell me how long shipping usually takes?",Neutral,Question,
"This phone is okay but the battery life is disappointing",Neutral,Opinion,
"Please replace the damaged item I received",Negative,Request,
"The package arrived yesterday",Neutral,Opinion,
"This is the worst customer service experience ever",Negative,Complaint,
"Great quality and very easy to use",Positive,Opinion,
"How do I reset my password?",Neutral,Question,
"I want a refund for my last order",Negative,Request,
"The design looks modern and clean",Positive,Opinion,
"Shipping was slow but the product works fine",Neutral,Opinion,
"I am unhappy with the service I received",Negative,Complaint,
"Does this come with a warranty?",Neutral,Question,
"Thank you for the quick response",Positive,Opinion,
"The instructions were unclear",Negative,Complaint,
"Please help me track my order",Neutral,Request,
"This item matches the description perfectly",Positive,Opinion,
"I expected better performance for this price",Negative,Opinion,
"When will my order be delivered?",Neutral,Question,
"The app crashes frequently",Negative,Complaint,
"I appreciate the helpful support team",Positive,Opinion,
"Is there a return policy for this product?",Neutral,Question,
"The color is different from what I ordered",Negative,Complaint,
"Please cancel my subscription",Negative,Request,
"i love your work",Positive,Opinion,
"The app shuts down unexpectedly",Negative,Complaint,
"I appreciate the fast reply",Positive,Opinion,
"Can you explain your return policy?",Neutral,Question,
"The product is exactly as described",Positive,Opinion,
"Please stop my subscription service",Negative,Request,
"My shipment showed up yesterday",Neutral,Opinion,
"The service did not meet my expectations",Negative,Complaint,
"Shipping was impressively fast",Positive,Opinion,
"How can I reset my account password?",Neutral,Question,
"I would like to request a refund",Negative,Request,
"The design feels fresh and modern",Positive,Opinion,
"Slow shipping, though the product itself is fine",Neutral,Opinion,
"I'm dissatisfied with the service provided",Negative,Complaint,
"Does the product have a warranty?",Neutral,Question,
"Thanks for responding so quickly",Positive,Opinion,
"I found the instructions difficult to follow",Negative,Complaint,
"Please provide tracking details for my order",Neutral,Request,
"It fully matches the listing description",Positive,Opinion,
"For the cost, the performance is lacking",Negative,Opinion,
"Has my order been scheduled for delivery?",Neutral,Question,
"The software crashes too often",Negative,Complaint,
"The support staff was very helpful",Positive,Opinion,
"Is this item eligible for return?",Neutral,Question,
"The item arrived in the wrong color",Negative,Complaint,
"I no longer want this subscription",Negative,Request,
"My order was delivered yesterday",Neutral,Opinion,
"Customer support was extremely disappointing",Negative,Complaint,
"Very well made and user-friendly",Positive,Opinion,
"What are the steps to reset my password?",Neutral,Question,
"Please process a refund for my purchase",Negative,Request,
"It has a stylish and contemporary look",Positive,Opinion,
"The delivery took a while, but the item works",Neutral,Opinion,
"I had a poor service experience",Negative,Complaint,
"What warranty options are available?",Neutral,Question,
"Grateful for the prompt response",Positive,Opinion,
"The setup guide was not clear",Negative,Complaint,
"I need assistance tracking my shipment",Neutral,Request,
"The item looks just like advertised",Positive,Opinion,
"This doesn’t perform as well as I expected",Negative,Opinion,
"Do you know when my package will arrive?",Neutral,Question,
"Frequent crashes make the app unusable",Negative,Complaint,
"The team was friendly and helpful",Positive,Opinion,
"Are returns allowed for this product?",Neutral,Question,
"I received the wrong color",Negative,Complaint,
"Kindly cancel my ongoing subscription",Negative,Request,
"The delivery speed exceeded my expectations",Positive,Opinion,
"Product is okay despite delayed shipping",Neutral,Opinion,
"The support service was disappointing",Negative,Complaint,
"Is there any warranty included?",Neutral,Question,
"Your quick reply was very helpful",Positive,Opinion,
"The user manual was confusing",Negative,Complaint,
"Can you help me find my order status?",Neutral,Request,
"Everything matches the product description",Positive,Opinion,
"Not worth the price based on performance",Negative,Opinion,
"What is the delivery date for my order?",Neutral,Question,
"The application keeps crashing",Negative,Complaint,
"I had a positive experience with support",Positive,Opinion,
"What is the return policy?",Neutral,Question,
"This isn’t the color I selected",Negative,Complaint,
"I want to cancel my subscription immediately",Negative,Request,
"My package arrived much earlier than expected",Positive,Opinion,
"It arrived late, but functions properly",Neutral,Opinion,
"This has been my worst support experience",Negative,Complaint,
"Can you confirm if this has warranty coverage?",Neutral,Question,
"I appreciate the helpful support team",Positive,Opinion,

